T0S;R0S;T30S;R30S;T50S;R50S;T100S;R100S;T160S;R160S;T0H;R0H;T30H;R30H;T50H;R50H;T100H;R100H;T160H;R160H
67.6;821;67.2;824;66.3;822;65.4;823;65.1;138;48.2;234;47;222;47;230;46.8;228;46.7;241
60.2;828;60.2;850;59.8;866;59.4;878;58.6;165;41.8;281;41.8;267;41.4;274;41;275;41;187
53.2;763;53.1;863;53;893;52.8;914;52.3;202;38.2;311;38.1;298;38.1;306;37.8;309;37.8;312
47.7;947;47.1;958;47.1;964;47;960;46.6;239;37.2;322;37.2;307;37.1;313;36.8;315;36.8;328
43.1;980;43;966;42.8;1002;42.1;996;42;276;35.1;351;35;336;34.9;341;34.6;345;34.7;357
39.1;993;39;1018;39;1048;38.8;1044;38;312;30.4;415;30.3;396;30.2;403;30.2;401;30;416
35.1;1036;35;1080;34.8;1092;34.7;1086;34.1;357;28.3;442;28.2;428;28.2;426;28.2;430;28.2;446
32.1;1083;31.7;1115;31.6;1143;31.5;1135;31;398;26.6;476;26.6;455;26.4;457;26.2;463;26.1;478
29.2;1134;29.1;1155;29;1169;29;1158;28.7;428;24.4;513;24.4;490;24.2;491;24.2;496;24.1;514
27.2;1185;27.1;1213;27;1221;27;1206;26.8;465;23.1;544;23.1;519;22.9;515;22.9;524;22.9;543
25.3;1230;25;1240;25;1248;25;1225;25;499;20.1;600;20.1;572;20;567;20;579;20;598
23.1;1252;23.1;1271;23.1;1279;23;1258;23.1;528;17.3;677;17.2;637;17.2;634;17;645;17;672
21;1323;20.8;1333;20.7;1337;20.5;1313;20.5;578;15.4;714;15.2;683;15.2;677;15.2;687;15.1;715
18.9;1334;18.9;1360;18.9;1373;18.9;1353;18.9;616;13.5;772;13.5;737;13.4;732;13.4;741;13.5;769
16.9;1416;16.9;1428;16.9;1433;16.9;1404;16.9;666;11;858;11;816;11;811;11;820;11;855
14.5;1476;14.5;1484;14.5;1489;14.5;1461;14.5;724;9.2;932;9;890;9;871;8.9;891;8.9;925
12.4;1548;12.6;1546;12.8;1547;12.9;1542;13;778;7.2;986;7.2;939;7.2;920;7.8;932;7.9;969
10;1654;10;1646;10;1651;10;1608;10;871;6.2;1020;6.2;969;6.4;961;6.6;971;6.7;1008
7.8;1719;7.9;1716;7.9;1717;8;1675;8;944;5.2;1092;5.2;1024;5.2;1010;5.6;1020;5.9;1057
6.1;1806;6.1;1785;6.3;1769;6.3;1734;6.4;993;4;1121;4.1;1069;4.2;1050;4.2;1065;4.4;1109
