Ano;APURIMAC;AYACUCHO;PUNO
1980;361;312;14293
1981;676;299;13298
1982;535;291;16314
1983;492;296;9491
1984;787;105;12917
1985;261;164;8245
1986;222;190;9800
1987;192;248;9678
1988;330;547;14539
1989;330;417;11367
1990;297;307;5033
1991;867;562;15620
1992;249;123;4395
1993;281;338;13771
1994;500;575;15355
1995;803;555;12525
1996;977;524;11695
1997;1104;756;17195
1998;1128;1317;19487
1999;1245;1363;17915
2000;1243;1718;20526
2001;1195;1374;18717
2002;711;900;22206
2003;665;1250;22602
2004;597;1097;22485
2005;636;1207;23343
2006;966;1530;23821
2007;1073;1408;23966
2008;1107;1758;23385
2009;1026;1871;26095
2010;1186;2589;26342
2011;1094;1952;27337
2012;1297;3643;27445
2013;1567;4653;29886
2014;2150;7696;32261
2015;3390;10396;34167
2016;4100;11515;35694
2017;3828;12050;35269
2018;4366;13766;35916
 ;;;
