A;APURIMAC;AYACUCHO;PUNO
1980;227;140;11092
1981;439;135;7460
1982;316;131;11290
1983;269;133;3530
1984;460;47;8448
1985;152;74;2596
1986;118;89;4621
1987;106;122;4839
1988;251;263;10760
1989;235;192;10562
1990;177;108;1574
1991;610;333;10684
1992;159;40;1688
1993;275;190;10616
1994;451;393;11721
1995;773;358;8336
1996;871;381;9740
1997;1003;433;14173
1998;886;856;17663
1999;1087;1002;16649
2000;1078;1444;19852
2001;1006;1144;15484
2002;621;752;24902
2003;613;1070;24542
2004;518;914;22102
2005;585;1031;27719
2006;894;1368;24652
2007;934;1209;25667
2008;904;1721;22691
2009;960;1771;31160
2010;1212;2368;31951
2011;1262;1444;32740
2012;2095;4188;30179
2013;2010;4925;29331
2014;2935;10323;36158
2015;5785;14630;38221
2016;6394;16657;35166
2017;7335;15615;39610
2018;9262;21213;38858
 ;;;
