kg/ha;APURIMAC;AYACUCHO;PUNO;GDDP
1982;591;450;692;1837
1983;547;449;372;1928
1984;584;448;654;1760
1985;582;451;315;1772
1986;532;468;472;1725
1987;552;492;500;1818
1988;761;481;740;1915
1989;712;460;929;1760
1990;596;352;313;1766
1991;704;593;684;1869
1992;639;325;384;1772
1993;979;562;771;1737
1994;902;683;763;1836
1995;963;645;666;1860
1996;892;727;833;1808
1997;909;573;824;1792
1998;786;650;906;2074
1999;873;735;929;1851
2000;867;841;967;1781
2001;841;833;827;1783
2002;874;836;1121;1893
2003;923;856;1086;1920
2004;867;833;983;1903
2005;919;854;1187;1936
2006;926;894;1035;1893
2007;870;859;1071;1944
2008;816;979;970;1819
2009;936;947;1194;1876
2010;1023;915;1213;2022
2011;1153;740;1198;1830
2012;1615;1150;1100;1842
2013;1283;1058;981;1926
2014;1365;1341;1121;1905
2015;1707;1407;1119;1911
2016;1560;1447;985;2023
