QUINUA-RENDIMIENTO (kg/ha);;;
RENDIMIENTO (kg/ha);;;
Años;APURIMAC;AYACUCHO;PUNO
1980;629;449;776
1981;649;452;561
1982;591;450;692
1983;547;449;372
1984;584;448;654
1985;582;451;315
1986;532;468;472
1987;552;492;500
1988;761;481;740
1989;712;460;929
1990;596;352;313
1991;704;593;684
1992;639;325;384
1993;979;562;771
1994;902;683;763
1995;963;645;666
1996;892;727;833
1997;909;573;824
1998;786;650;906
1999;873;735;929
2000;867;841;967
2001;841;833;827
2002;874;836;1121
2003;923;856;1086
2004;867;833;983
2005;919;854;1187
2006;926;894;1035
2007;870;859;1071
2008;816;979;970
2009;936;947;1194
2010;1023;915;1213
2011;1153;740;1198
2012;1615;1150;1100
2013;1283;1058;981
2014;1365;1341;1121
2015;1707;1407;1119
2016;1560;1447;985
2017;1916;1296;1123
2018;2122;1541;1082
 ;;;
